site,date,species,count,percip,weather,temp,sunrise,notes
New,27-10-2021,American Crow,2,Dry,partly cloudy,9,7:53:00,6th day: Stormy weather on Mon of that week. Old Site.
New,27-10-2021,Spotted Towhee,11,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,American Robin,1,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Fox Sparrow,5,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Black-capped Chickadee,8,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Varied Thrush,1,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Golden-crowned Kinglet,2,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Northern Flicker,1,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Purple Finch,1,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Pacific Wren,2,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Ruby-crowned Kinglet ,1,Dry,partly cloudy,9,7:53:00,
New,27-10-2021,Song Sparrow ,1,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,Brown Creeper,13,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,Golden-crowned Kinglet,11,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,Song Sparrow ,2,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,Cedar Waxwing,1,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,Pacific Wren,12,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,Spotted Towhee,1,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,American Crow,5,Dry,partly cloudy,9,7:53:00,
Old,27-10-2021,Northern Flicker,2,Dry,partly cloudy,9,7:53:00,
New,25-10-2021,Song Sparrow ,10,Dry,overcast,12,7:49:00,5th day: (11deg) windy; expected storm later that day. Old Site.
New,25-10-2021,Black-capped Chickadee,14,Dry,overcast,12,7:49:00,
New,25-10-2021,Spotted Towhee,6,Dry,overcast,12,7:49:00,
New,25-10-2021,Northern Flicker,4,Dry,overcast,12,7:49:00,
New,25-10-2021,Pacific Wren,1,Dry,overcast,12,7:49:00,
New,25-10-2021,Golden-crowned Kinglet,1,Dry,overcast,12,7:49:00,
Old,25-10-2021,Pacific Wren,8,Dry,overcast,12,7:49:00,
Old,25-10-2021,Stellar's Jay,4,Dry,overcast,12,7:49:00,
Old,25-10-2021,Brown Creeper,5,Dry,overcast,12,7:49:00,
Old,25-10-2021,Golden-crowned Kinglet,8,Dry,overcast,12,7:49:00,
Old,25-10-2021,American Crow,1,Dry,overcast,12,7:49:00,
Old,25-10-2021,Chestnut-backed Chickadee,1,Dry,overcast,12,7:49:00,
Old,25-10-2021,American Robin,1,Dry,overcast,12,7:49:00,
Old,20-10-2021,Pacific Wren,8,Wet,mostly cloudy,10,7:41:00,4th day
Old,20-10-2021,Golden-crowned Kinglet,10,Wet,mostly cloudy,10,7:41:00,
Old,20-10-2021,Song Sparrow ,3,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,Spotted Towhee,3,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,Pacific Wren,1,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,White-throated Sparrow,5,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,American Crow,1,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,American Robin,1,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,Brown Creeper,1,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,Lincoln's Sparrow,1,Wet,mostly cloudy,10,7:41:00,
New,20-10-2021,Hermit Thrush,1,Wet,mostly cloudy,10,7:41:00,
Old,18-10-2021,Pacific Wren,12,Dry,lightly cloudy,9,7:38:00,3rd day
Old,18-10-2021,Song Sparrow ,1,Dry,lightly cloudy,9,7:38:00,
Old,18-10-2021,Stellar's Jay,1,Dry,lightly cloudy,9,7:38:00,
Old,18-10-2021,Black-capped Chickadee,1,Dry,lightly cloudy,9,7:38:00,
Old,18-10-2021,Northern Flicker,1,Dry,lightly cloudy,9,7:38:00,
Old,18-10-2021,House Finch,1,Dry,lightly cloudy,9,7:38:00,
